iso_code,continent,location,total_cases,total_deaths,new_deaths,icu_patients
AFG,Asia,Afghanistan,177093,7654,2,
OWID_AFR,,Africa,11460017,251180,12,
ALB,Europe,Albania,273088,3487,0,
DZA,Africa,Algeria,265550,6871,0,7
AND,Europe,Andorra,39234,153,0,
AGO,Africa,Angola,99003,1900,0,
AIA,North America,Anguilla,2595,9,0,
ATG,North America,Antigua and Barbuda,7473,135,0,
ARG,South America,Argentina,9007753,127494,11,768
ARM,Asia,Armenia,422307,8595,2,
ABW,North America,Aruba,33843,212,0,
OWID_ASI,,Asia,132993357,1389465,1496,
AUS,Oceania,Australia,3943368,5736,11,84
AUT,Europe,Austria,3466203,15409,22,200
AZE,Asia,Azerbaijan,791482,9656,5,
BHS,North America,Bahamas,33221,787,10,
BHR,Asia,Bahrain,544851,1465,0,
BGD,Asia,Bangladesh,1950609,29117,3,
BRB,North America,Barbados,57733,329,2,
BLR,Europe,Belarus,951081,6722,6,
BEL,Europe,Belgium,3707561,30529,19,170
BLZ,North America,Belize,57143,654,0,
BEN,Africa,Benin,26952,163,0,
BMU,North America,Bermuda,12094,126,0,
BTN,Asia,Bhutan,22004,9,0,
BOL,South America,Bolivia,899697,21482,0,43
BES,North America,Bonaire Sint Eustatius and Saba,7739,31,0,
BIH,Europe,Bosnia and Herzegovina,373985,15664,0,
BWA,Africa,Botswana,263950,2619,0,
BRA,South America,Brazil,29637814,657495,106,
VGB,North America,British Virgin Islands,6104,62,0,
BRN,Asia,Brunei,124716,189,9,
BGR,Europe,Bulgaria,1124186,36282,10,345
BFA,Africa,Burkina Faso,20813,379,0,
BDI,Africa,Burundi,38308,38,0,
KHM,Asia,Cambodia,134986,3051,1,
CMR,Africa,Cameroon,119544,1927,1,
CAN,North America,Canada,3404964,37215,11,401
CPV,Africa,Cape Verde,55925,401,0,
CYM,North America,Cayman Islands,20336,23,0,
CAF,Africa,Central African Republic,14649,113,0,
TCD,Africa,Chad,7269,190,0,
CHL,South America,Chile,3392978,44518,78,775
CHN,Asia,China,130684,4638,0,
COL,South America,Colombia,6081131,139452,18,
COM,Africa,Comoros,8076,160,0,
COG,Africa,Congo,24059,383,0,
COK,Oceania,Cook Islands,743,,,
CRI,North America,Costa Rica,829400,8226,11,
CIV,Africa,Cote d'Ivoire,81655,796,0,
HRV,Europe,Croatia,1084012,15435,10,
CUB,North America,Cuba,1081472,8506,0,
CUW,North America,Curacao,39853,265,0,
CYP,Europe,Cyprus,377356,919,3,5
CZE,Europe,Czechia,3737891,39359,7,158
COD,Africa,Democratic Republic of Congo,86461,1335,0,
DNK,Europe,Denmark,3004907,5402,27,23
DJI,Africa,Djibouti,15573,189,0,
DMA,North America,Dominica,11724,62,0,
DOM,North America,Dominican Republic,577317,4375,0,
ECU,South America,Ecuador,853850,35410,62,
EGY,Africa,Egypt,495373,24277,0,
SLV,North America,El Salvador,161052,4109,0,
GNQ,Africa,Equatorial Guinea,15899,183,0,
ERI,Africa,Eritrea,9723,103,0,
EST,Europe,Estonia,542386,2392,7,19
SWZ,Africa,Eswatini,69552,1392,0,
ETH,Africa,Ethiopia,469455,7489,0,
OWID_EUR,,Europe,171892361,1753751,893,
